Technology,Electricity Installed Capacity (MW)
Biogas,303009.329
Coal and peat,36498511.374
Fossil fuels n.e.s.,17695823.485
Geothermal energy,276267.31
Liquid biofuels,43032.758
Marine energy,9274.006
Mixed Hydro Plants,1337941.835
Natural gas,26117416.7817
Nuclear,9613492.043
Offshore wind energy,440708.161
Oil,7465134.787847
Onshore wind energy,8720109.601
Other non-renewable energy,478446.104
Pumped storage,2638912.942
Renewable hydropower,23504891.918
Renewable municipal waste,240012.971
Solar photovoltaic,8431727.763
Solar thermal energy,79152.013
Solid biofuels,1514919.886
