Year,Electricity Installed Capacity (MW)
2000,3472286.5348
2001,3562282.3908
2002,3691841.7158
2003,3843864.3158
2004,3968619.8388
2005,4112825.8708
2006,4293194.6098
2007,4471749.3458
2008,4638712.0408
2009,4842024.3867999995
2010,5078094.079
2011,5313071.556
2012,5540265.7108
2013,5772291.8028
2014,6013014.1268
2015,6274053.8838
2016,6548405.1148
2017,6808596.9434
2018,7118973.956821
2019,7355792.183821
2020,7691270.126821
2021,8019940.794821
2022,8397020.625821
2023,8970793.044021
2024,9609800.069021
