Technology,Electricity Generation (GWh)
Biogas,1396290.81
Coal and peat,202805574.658
Fossil fuels n.e.s.,6687489.306
Geothermal energy,1757156.545
Liquid biofuels,98711.201
Marine energy,17529.781
Mixed Hydro Plants,8367.938
Natural gas,115574096.65810926
Nuclear,63963837.315
Offshore wind energy,971481.177
Oil,22792449.443955995
Onshore wind energy,16256168.082
Other non-renewable energy,2554915.652
Pumped storage,2463616.647
Renewable hydropower,84821137.041
Renewable municipal waste,1074051.056
Solar photovoltaic,7513664.327
Solar thermal energy,144246.407
Solid biofuels,6235985.343
